,23
Salvador Dalí,20
Ludwig van Beethoven,16
Frank Lloyd Wright,15
Claude Debussy,15
Gian Lorenzo Bernini,15
Franz Schubert,14
Antonio Vivaldi,14
Gustav Mahler,13
Maurice Ravel,13
Johannes Brahms,13
George Frideric Handel,13
Giacomo Puccini,11
Rembrandt,11
Jacques-Louis David,11
Igor Stravinsky,11
Eero Saarinen,11
Johann Sebastian Bach,11
Donatello,11
Aaron Copland,11
Michelangelo,10
Nikolai Rimsky-Korsakov,10
Frank Gehry,10
Giuseppe Verdi,10
Edvard Grieg,10
Felix Mendelssohn,10
George Gershwin,10
Sandro Botticelli,10
Edward Elgar,10
Robert Schumann,10
Henri Matisse,9
Edward Hopper,9
Francisco Goya,9
Edvard Munch,9
Gioachino Rossini,9
Titian,9
Philip Glass,9
Hans Holbein the Younger,9
Frédéric Chopin,9
Pablo Picasso,9
Rhapsody in Blue,9
Eugène Delacroix,9
Wolfgang Amadeus Mozart,9
René Magritte,9
Arnolfini Portrait,9
Richard Strauss,9
Madama Butterfly,8
The Four Seasons,8
The Garden of Earthly Delights,8
John Coltrane,8
Ansel Adams,8
The Planets,8
Nighthawks,8
Aida,8
Jean Sibelius,8
Pictures at an Exhibition,8
I and the Village,8
Cello,8
Swan Lake,8
The Magic Flute,8
The Night Watch,8
Constantin Brâncuși,8
Béla Bartók,8
Antonín Dvořák,7
Andy Warhol,7
Miles Davis,7
Spain,7
Pyotr Ilyich Tchaikovsky,7
Guernica,7
The Nutcracker,7
Rigoletto,7
Sergei Prokofiev,7
Las Meninas,7
Marc Chagall,7
Peter Paul Rubens,7
Charles Ives,7
Ralph Vaughan Williams,7
Pierre-Auguste Renoir,7
Franz Liszt,7
Marcel Duchamp,7
Grant Wood,7
James Abbott McNeill Whistler,7
Samuel Barber,7
Carmen,7
John Singleton Copley,7
Violin,7
The Rite of Spring,7
Vincent van Gogh,7
I. M. Pei,7
Dmitri Shostakovich,6
Le Corbusier,6
Paul Cézanne,6
Johann Strauss II,6
Albrecht Dürer,6
Carmina Burana,6
Johannes Vermeer,6
Richard Wagner,6
Alexander Calder,6
John Cage,6
Last Supper,6
Don Giovanni,6
Caravaggio,6
Louis Armstrong,6
Raphael,6
Pieter Bruegel the Elder,6
Hector Berlioz,6
Trumpet,6
Piano,5
The Barber of Seville,5
Auguste Rodin,5
Cubism,5
The School of Athens,5
Pagliacci,5
Claude Monet,5
Modest Mussorgsky,5
A Sunday Afternoon on the Island of La Grande Jatte,5
The Carnival of the Animals,5
Messiah,5
Georges Seurat,5
Leonardo da Vinci,5
Japan,5
Duke Ellington,4
Paul Gauguin,4
Blue,4
Frida Kahlo,4
Pop art,4
Chicago,4
The Starry Night,4
Édouard Manet,4
The Ambassadors,4
The Scream,4
Winslow Homer,4
Dada,4
Citizen Kane,4
Norman Rockwell,4
Hungary,4
Charlie Chaplin,4
Impressionism,4
String quartet,4
