,46
Johannes Brahms,40
Claude Debussy,39
Ludwig van Beethoven,39
Maurice Ravel,36
Pyotr Ilyich Tchaikovsky,35
Franz Schubert,35
Salvador Dalí,34
Aaron Copland,33
Wolfgang Amadeus Mozart,31
Robert Schumann,31
Frédéric Chopin,30
George Frideric Handel,30
Frank Lloyd Wright,29
Gian Lorenzo Bernini,29
Johann Sebastian Bach,28
Antonio Vivaldi,28
Michelangelo,27
Sergei Prokofiev,27
Gustav Mahler,26
Igor Stravinsky,26
Richard Strauss,26
Spain,25
Rembrandt,25
Jacques-Louis David,25
Felix Mendelssohn,25
Sandro Botticelli,25
Edvard Munch,24
Titian,24
Edvard Grieg,24
Eugène Delacroix,24
Edward Elgar,24
Arnold Schoenberg,23
Donatello,23
Raphael,23
Marc Chagall,22
Giuseppe Verdi,22
Ralph Vaughan Williams,22
The Magic Flute,22
George Gershwin,22
Béla Bartók,22
Piano sonatas (Beethoven),21
Richard Wagner,21
Pablo Picasso,21
Jean Sibelius,21
Franz Liszt,21
Joseph Haydn,21
Dmitri Shostakovich,20
Edward Hopper,20
The Garden of Earthly Delights,20
Gioachino Rossini,20
Peter Paul Rubens,20
Charles Ives,20
Swan Lake,20
Constantin Brâncuși,20
Carmen,20
Philip Glass,19
Diego Velázquez,19
String quartet,19
Pictures at an Exhibition,19
René Magritte,19
Antonín Dvořák,18
Giacomo Puccini,18
Benjamin Britten,18
Paul Cézanne,18
Nikolai Rimsky-Korsakov,18
Aida,18
Last Supper,18
Cello,18
Trumpet,18
Violin,18
Francisco Goya,17
The Four Seasons,17
Albrecht Dürer,17
Frank Gehry,17
John Coltrane,17
Clarinet,17
Eero Saarinen,17
Hector Berlioz,17
Grant Wood,17
James Abbott McNeill Whistler,17
The Rite of Spring,17
Henri Matisse,16
Edgar Degas,16
The Planets,16
Auguste Rodin,16
John Cage,16
Don Giovanni,16
The,16
Caravaggio,16
Marcel Duchamp,16
Thomas Eakins,16
Samuel Barber,16
John Singleton Copley,16
Vincent van Gogh,16
J. M. W. Turner,16
Andy Warhol,15
Le Corbusier,15
Guernica,15
Rigoletto,15
Ansel Adams,15
El Greco,15
Nighthawks,15
Johannes Vermeer,15
Claude Monet,15
Russia,15
The Night Watch,15
Camille Saint-Saëns,15
Madama Butterfly,14
La traviata,14
Las Meninas,14
Charlie Parker,14
The School of Athens,14
Flute,14
Saxophone,14
I and the Village,14
Modest Mussorgsky,14
Pieter Bruegel the Elder,14
The Carnival of the Animals,14
Leonardo da Vinci,14
I. M. Pei,14
Paul Gauguin,13
Symphony No. 8 (Mahler),13
Winslow Homer,13
The Barber of Seville,13
David,13
Giorgio de Chirico,13
Hans Holbein the Younger,13
Pierre-Auguste Renoir,13
Symphonie fantastique,13
La bohème,13
Bedřich Smetana,13
Arnolfini Portrait,13
Sergei Rachmaninoff,13
Jan van Eyck,13
The Hay Wain,12
Piano,12
Miles Davis,12
Édouard Manet,12
Johann Strauss II,12
Carmina Burana,12
Rhapsody in Blue,12
Gustav Holst,12
Pagliacci,12
Tosca,12
John Constable,12
Japan,12
Nicolas Poussin,11
John Singer Sargent,11
Anton Bruckner,11
Georges Bizet,11
Violin concerto,11
Brandenburg Concertos,11
John Adams (composer),11
France,11
Thelonious Monk,11
Italy,11
Erik Satie,11
Georges Seurat,11
Jean-Auguste-Dominique Ingres,11
Turandot,11
Benjamin West,10
Henry Purcell,10
The Nutcracker,10
Paul Hindemith,10
William Hogarth,10
Leonard Bernstein,10
Diego Rivera,10
Alfred Stieglitz,10
Alexander Calder,10
Mexico,10
Niccolò Paganini,10
Oboe,10
Germany,10
Piano concerto,10
Louis Armstrong,10
Benvenuto Cellini,10
Jackson Pollock,10
The Death of Marat,10
Gustave Courbet,10
Messiah,10
Last Judgment,10
Prelude,10
Pipe organ,9
Ottorino Respighi,9
Frida Kahlo,9
Waltz,9
Chicago,9
Martha Graham,9
Rococo,9
Jean-Antoine Watteau,9
Norman Rockwell,9
Scott Joplin,9
Paul Klee,9
Olympia,9
Ludwig Mies van der Rohe,9
Akira Kurosawa,9
Bassoon,9
The Death of Socrates,9
Anthony van Dyck,9
1812 Overture,9
Joan Miró,9
George Washington,9
Louis Sullivan,9
Pop art,8
Thomas Cole,8
John Everett Millais,8
American Gothic,8
Pre-Raphaelite Brotherhood,8
Manuel de Falla,8
Ghent Altarpiece,8
Bronzino,8
Sistine Chapel,8
Caspar David Friedrich,8
Symphony No. 6 (Beethoven),8
Cubism,8
Dog,8
United States,8
Joshua Reynolds,8
Requiem,8
The Gates of Hell,8
Franz,8
George Bellows,8
Théodore Géricault,8
Praxiteles,8
Hieronymus Bosch,8
A Sunday Afternoon on the Island of La Grande Jatte,8
Lucia di Lammermoor,8
Andrea Mantegna,8
Georgia O'Keeffe,8
Hudson River School,8
John Adams,8
Duke Ellington,7
Blue,7
Gustave Caillebotte,7
The Persistence of Memory,7
Symphony No. 9 (Dvořák),7
The Ambassadors,7
The Scream,7
Arthur Honegger,7
Le Déjeuner sur l’herbe,7
Hungary,7
Impressionism,7
Filippo Brunelleschi,7
Frederic Remington,7
Venice,7
Christopher Wren,7
Der Blaue Reiter,7
Parthenon,7
The Raft of the Medusa,7
Henry Moore,7
Henri Rousseau,7
Dido and Aeneas,7
Tintoretto,7
The Burial of the Count of Orgaz,7
Andrew Wyeth,7
Jean-Honoré Fragonard,7
The Calling of St Matthew (Caravaggio),7
Krzysztof Penderecki,7
Jean-François Millet,7
Watson and the Shark,7
Heitor Villa-Lobos,7
Paolo Veronese,7
Venus,7
Benny Goodman,7
England,7
The Embarkation for Cythera,7
Piet Mondrian,7
Washington Crossing the Delaware,7
Empire State Building,6
Napoleon,6
