Poland,11
Portugal,11
War of 1812,10
Mao Zedong,10
Charlemagne,10
Martin Luther,10
Simón Bolívar,9
Gaius Julius Caesar,9
Crimean War,9
Charles de Gaulle,8
Battle of Gettysburg,8
Battle of Hastings,8
Otto von Bismarck,8
Ivan the Terrible,8
Cuba,7
Giuseppe Garibaldi,7
George III of the United Kingdom,7
Brazil,7
Philippines,7
Constantine the Great,7
Inca Empire,7
Pakistan,7
Winston Churchill,7
Hundred Years' War,7
Henry VIII of England,7
Elizabeth I of England,7
Henry Clay,7
George Washington,7
Mali Empire,6
Thirty Years' War,6
Herbert Hoover,6
Justinian I,6
War of the Spanish Succession,6
Antonio López de Santa Anna,6
Louis XIV of France,6
Finland,6
Benito Mussolini,6
Oliver Cromwell,6
Peter the Great,6
Maximilien Robespierre,6
Genghis Khan,6
Francisco Franco,6
Mahatma Gandhi,6
Napoleon,5
Treaty of Versailles,5
Alexander the Great,5
Mughal Empire,5
Jimmy Carter,5
Sweden,5
Joseph Stalin,5
Catherine the Great,5
Ulysses S. Grant,5
South Africa,5
Byzantine Empire,5
Berlin,5
Augustus,5
Gustavus Adolphus of Sweden,5
Franklin D. Roosevelt,5
War of the Austrian Succession,5
First Crusade,5
Ming dynasty,5
Battle of Waterloo,5
Abraham Lincoln,5
Richard I of England,5
John Quincy Adams,5
Gamal Abdel Nasser,5
Margaret Thatcher,5
Vladimir Lenin,5
Bill Clinton,5
Han dynasty,5
Magna Carta,5
Haymarket affair,5
Louis XVI of France,5
Attila,5
Ronald Reagan,5
India,4
Zulu Kingdom,4
Sicily,4
Athens,4
Ottoman Empire,4
Scotland,4
Harry S. Truman,4
Australia,4
Dred Scott v. Sandford,4
Hungary,4
Nero,4
Sherman Antitrust Act,4
Prague Spring,4
Pericles,4
Battle of the Bulge,4
Kansas,4
Jawaharlal Nehru,4
Mexico,4
Nicholas II of Russia,4
Erie Canal,4
Bacon's Rebellion,4
Belgium,4
Slave rebellion,4
Spanish Armada,4
Alexander Hamilton,4
Italy,4
Battle of Bosworth Field,4
Ramesses II,4
Weimar Republic,4
Suleiman the Magnificent,4
Spanish-American War,4
Romania,4
Hannibal,4
Battle of Antietam,4
Nelson Mandela,4
Theodore Roosevelt,4
