,30
Pablo Neruda,21
Hermann Hesse,20
Nathaniel Hawthorne,18
Jorge Luis Borges,17
Ernest Hemingway,17
Emily Dickinson,16
"Cry, the Beloved Country",16
Robert Frost,16
Robert Browning,15
The Great Gatsby,15
Mario Vargas Llosa,15
Don Quixote,15
Catch-22,14
One Hundred Years of Solitude,14
Aristophanes,13
Edgar Allan Poe,13
Franz Kafka,13
Guy de Maupassant,13
Eugène Ionesco,13
Howl (disambiguation),13
Henrik Ibsen,12
Yukio Mishima,12
Carlos Fuentes,12
Thomas Mann,12
Yasunari Kawabata,12
The Rime of the Ancient Mariner,12
Walt Whitman,12
Frankenstein,12
Arthur Miller,12
Anna Karenina,12
Virginia Woolf,12
Brave New World,12
Johann Wolfgang von Goethe,12
Invisible Man,12
Samuel Beckett,11
The Love Song of J. Alfred Prufrock,11
Albert Camus,11
Australia,11
Luigi Pirandello,11
Joseph Conrad,11
Heart of Darkness,11
Kurt Vonnegut,11
Moby-Dick,11
Gabriel García Márquez,11
Jane Eyre,11
Crime and Punishment,11
Pride and Prejudice,10
The Tale of Genji,10
George Bernard Shaw,10
F. Scott Fitzgerald,10
J. M. Coetzee,10
Thomas Hardy,10
Umberto Eco,10
"Alfred, Lord Tennyson",10
John Keats,10
William Blake,10
W. B. Yeats,10
Nadine Gordimer,10
Candide,10
Nikolai Gogol,10
China,10
Charles Baudelaire,10
The Canterbury Tales,10
Madame Bovary,10
The Waste Land,10
Christopher Marlowe,10
E. E. Cummings,9
Fyodor Dostoyevsky,9
A Streetcar Named Desire,9
The Song of Roland,9
Vladimir Nabokov,9
John Donne,9
Paradise Lost,9
Chinua Achebe,9
D. H. Lawrence,9
Henry Wadsworth Longfellow,9
Federico García Lorca,9
Margaret Atwood,9
Herman Melville,9
Sinclair Lewis,9
Eugene O'Neill,9
The Stranger,9
Toni Morrison,9
Wole Soyinka,9
Oscar Wilde,9
All Quiet on the Western Front,9
To His Coy Mistress,8
John Milton,8
James Fenimore Cooper,8
Edwin Arlington Robinson,8
Allen Ginsberg,8
Great Expectations,8
To Kill a Mockingbird,8
The Tempest,8
Virgil,8
Stephen Crane,8
Anton Chekhov,8
