Answer Line,Frequency
Nathaniel Hawthorne,0.006681514
Emily Dickinson,0.006124722
Edgar Allan Poe,0.006124722
Washington Irving,0.006124722
Leo Tolstoy,0.006124722
Robert Frost,0.006124722
Henrik Ibsen,0.005567929
Fyodor Dostoyevsky,0.005567929
Aristophanes,0.005567929
Langston Hughes,0.005567929
Gabriel García Márquez,0.005567929
Pablo Neruda,0.005011136
"Alfred, Lord Tennyson",0.005011136
Romeo and Juliet,0.005011136
Rudyard Kipling,0.005011136
John Keats,0.005011136
Stephen Crane,0.005011136
Anton Chekhov,0.005011136
Wuthering Heights,0.005011136
James Joyce,0.005011136
Beowulf,0.005011136
To Kill a Mockingbird,0.004454343
Sylvia Plath,0.004454343
Albert Camus,0.004454343
"Cry, the Beloved Country",0.004454343
Australia,0.004454343
Lord of the Flies,0.004454343
William Blake,0.004454343
The Crucible,0.004454343
Walt Whitman,0.004454343
The Metamorphosis,0.004454343
Hermann Hesse,0.004454343
Ernest Hemingway,0.004454343
Candide,0.004454343
China,0.004454343
One Hundred Years of Solitude,0.004454343
The Canterbury Tales,0.004454343
John Milton,0.00389755
Pride and Prejudice,0.00389755
Robert Louis Stevenson,0.00389755
Joseph Conrad,0.00389755
O. Henry,0.00389755
Uncle Tom's Cabin,0.00389755
Don Quixote,0.00389755
Catch-22,0.00389755
Herman Melville,0.00389755
Madame Bovary,0.00389755
Christopher Marlowe,0.00389755
The Tale of Genji,0.003340757
George Bernard Shaw,0.003340757
William Faulkner,0.003340757
Günter Grass,0.003340757
Henry James,0.003340757
Allen Ginsberg,0.003340757
Marcel Proust,0.003340757
Inferno,0.003340757
Thomas Mann,0.003340757
Macbeth,0.003340757
South Africa,0.003340757
George Orwell,0.003340757
Henry Wadsworth Longfellow,0.003340757
John Steinbeck,0.003340757
Mexico,0.003340757
Frankenstein,0.003340757
W. B. Yeats,0.003340757
Jorge Luis Borges,0.003340757
Eugene O'Neill,0.003340757
Thornton Wilder,0.003340757
Percy Bysshe Shelley,0.003340757
David Copperfield,0.003340757
The Hunchback of Notre-Dame,0.003340757
Toni Morrison,0.003340757
Oscar Wilde,0.003340757
The Waste Land,0.003340757
Alexander Pushkin,0.003340757
E. E. Cummings,0.002783964
Yukio Mishima,0.002783964
Robert Burns,0.002783964
Great Expectations,0.002783964
William Cullen Bryant,0.002783964
Naguib Mahfouz,0.002783964
A Doll's House,0.002783964
The Tempest,0.002783964
Lolita,0.002783964
Daniel Defoe,0.002783964
T. S. Eliot,0.002783964
Chinua Achebe,0.002783964
The Great Gatsby,0.002783964
Sophocles,0.002783964
One Thousand and One Nights,0.002783964
Moby-Dick,0.002783964
Jonathan Swift,0.002783964
Gulliver's Travels,0.002783964
Les Misérables,0.002783964
Arthur Miller,0.002783964
Dylan Thomas,0.002783964
Molière,0.002783964
Virginia Woolf,0.002783964
Brave New World,0.002783964
Sinclair Lewis,0.002783964
Johann Wolfgang von Goethe,0.002783964
Nikolai Gogol,0.002783964
Invisible Man,0.002783964
Anne Bradstreet,0.002783964
The Three Musketeers,0.002783964
Thomas Pynchon,0.002783964
Vanity Fair,0.002783964
Samuel Taylor Coleridge,0.002783964
Jack Kerouac,0.002783964
Japan,0.002783964
The Decameron,0.002783964
Oliver Twist,0.002227171
Gargantua and Pantagruel,0.002227171
Ray Bradbury,0.002227171
Samuel Beckett,0.002227171
Poland,0.002227171
Thomas Hardy,0.002227171
Faust,0.002227171
John Donne,0.002227171
Hamlet,0.002227171
Franz Kafka,0.002227171
William Carlos Williams,0.002227171
The Old Man and the Sea,0.002227171
Salman Rushdie,0.002227171
Charge of the Light Brigade,0.002227171
St. Francis College,0.002227171
My Antonia,0.002227171
Geoffrey Chaucer,0.002227171
Kurt Vonnegut,0.002227171
Ovid,0.002227171
Virgil,0.002227171
August Strindberg,0.002227171
E. M. Forster,0.002227171
Tennessee Williams,0.002227171
The Count of Monte Cristo,0.002227171
Federico García Lorca,0.002227171
The Pilgrim's Progress,0.002227171
The Jungle,0.002227171
Othello,0.002227171
Jack London,0.002227171
Jane Eyre,0.002227171
The Cherry Orchard,0.002227171
Anna Karenina,0.002227171
Italy,0.002227171
Aleksandr Solzhenitsyn,0.002227171
Victor Hugo,0.002227171
Death of a Salesman,0.002227171
Alexander Pope,0.002227171
Ivan Turgenev,0.002227171
Jean-Paul Sartre,0.002227171
Things Fall Apart,0.002227171
Bertolt Brecht,0.002227171
Ethan Frome,0.002227171
Ambrose Bierce,0.002227171
Émile Zola,0.002227171
The Catcher in the Rye,0.002227171
Wole Soyinka,0.002227171
King Lear,0.002227171
All Quiet on the Western Front,0.002227171
1984,0.002227171
John Dryden,0.001670379
Adventures of Huckleberry Finn,0.001670379
Alan Paton,0.001670379
The Little Prince,0.001670379
James Fenimore Cooper,0.001670379
Voltaire,0.001670379
Spain,0.001670379
Romeo,0.001670379
Hedda Gabler,0.001670379
Stendhal,0.001670379
Vladimir Nabokov,0.001670379
Octavio Paz,0.001670379
Dracula,0.001670379
Umberto Eco,0.001670379
Death in Venice,0.001670379
Waiting for Godot,0.001670379
Flannery O'Connor,0.001670379
Robert Browning,0.001670379
Huckleberry Finn,0.001670379
Paradise Lost,0.001670379
Portugal,0.001670379
Dante Alighieri,0.001670379
Yasunari Kawabata,0.001670379
Luigi Pirandello,0.001670379
Guy de Maupassant,0.001670379
A Tale of Two Cities,0.001670379
The Grapes of Wrath,0.001670379
Mario Vargas Llosa,0.001670379
The Importance of Being Earnest,0.001670379
The Rime of the Ancient Mariner,0.001670379
War and Peace,0.001670379
Ralph Waldo Emerson,0.001670379
The Red Badge of Courage,0.001670379
Republic (disambiguation),0.001670379
Alexandre Dumas,0.001670379
Charles Dickens,0.001670379
The Glass Menagerie,0.001670379
Sherlock Holmes,0.001670379
Ode on a Grecian Urn,0.001670379
Oedipus,0.001670379
Tom Wolfe,0.001670379
