Answer Line,Frequency
Pablo Neruda,0.005865922
Hermann Hesse,0.005586592
Nathaniel Hawthorne,0.005027933
Jorge Luis Borges,0.004748603
Ernest Hemingway,0.004748603
Emily Dickinson,0.004469274
"Cry, the Beloved Country",0.004469274
Robert Frost,0.004469274
Robert Browning,0.004189944
The Great Gatsby,0.004189944
Mario Vargas Llosa,0.004189944
Don Quixote,0.004189944
Catch-22,0.003910615
One Hundred Years of Solitude,0.003910615
Aristophanes,0.003631285
Edgar Allan Poe,0.003631285
Franz Kafka,0.003631285
Guy de Maupassant,0.003631285
Eugène Ionesco,0.003631285
Howl,0.003631285
Henrik Ibsen,0.003351955
Yukio Mishima,0.003351955
Carlos Fuentes,0.003351955
Thomas Mann,0.003351955
Yasunari Kawabata,0.003351955
The Rime of the Ancient Mariner,0.003351955
Walt Whitman,0.003351955
Frankenstein,0.003351955
Arthur Miller,0.003351955
Anna Karenina,0.003351955
Virginia Woolf,0.003351955
Brave New World,0.003351955
Johann Wolfgang von Goethe,0.003351955
Invisible Man,0.003351955
Samuel Beckett,0.003072626
The Love Song of J. Alfred Prufrock,0.003072626
Albert Camus,0.003072626
Australia,0.003072626
Luigi Pirandello,0.003072626
Joseph Conrad,0.003072626
Heart of Darkness,0.003072626
Kurt Vonnegut,0.003072626
Moby-Dick,0.003072626
Gabriel García Márquez,0.003072626
Jane Eyre,0.003072626
Crime and Punishment,0.003072626
Pride and Prejudice,0.002793296
The Tale of Genji,0.002793296
George Bernard Shaw,0.002793296
F. Scott Fitzgerald,0.002793296
J. M. Coetzee,0.002793296
Thomas Hardy,0.002793296
Umberto Eco,0.002793296
"Alfred, Lord Tennyson",0.002793296
John Keats,0.002793296
William Blake,0.002793296
W. B. Yeats,0.002793296
Nadine Gordimer,0.002793296
Candide,0.002793296
Nikolai Gogol,0.002793296
China,0.002793296
Charles Baudelaire,0.002793296
The Canterbury Tales,0.002793296
Madame Bovary,0.002793296
The Waste Land,0.002793296
Christopher Marlowe,0.002793296
E. E. Cummings,0.002513966
Fyodor Dostoyevsky,0.002513966
A Streetcar Named Desire,0.002513966
The Song of Roland,0.002513966
Vladimir Nabokov,0.002513966
John Donne,0.002513966
Paradise Lost,0.002513966
Chinua Achebe,0.002513966
D. H. Lawrence,0.002513966
Henry Wadsworth Longfellow,0.002513966
Federico García Lorca,0.002513966
Margaret Atwood,0.002513966
Herman Melville,0.002513966
Sinclair Lewis,0.002513966
Eugene O'Neill,0.002513966
The Stranger,0.002513966
Toni Morrison,0.002513966
Wole Soyinka,0.002513966
Oscar Wilde,0.002513966
All Quiet on the Western Front,0.002513966
To His Coy Mistress,0.002234637
John Milton,0.002234637
James Fenimore Cooper,0.002234637
Edwin Arlington Robinson,0.002234637
Allen Ginsberg,0.002234637
Great Expectations,0.002234637
To Kill a Mockingbird,0.002234637
The Tempest,0.002234637
Virgil,0.002234637
Stephen Crane,0.002234637
Anton Chekhov,0.002234637
Rubaiyat of Omar Khayyam,0.002234637
Lord of the Flies,0.002234637
Gustave Flaubert,0.002234637
Tartuffe,0.002234637
Beowulf,0.002234637
The Red and the Black,0.002234637
Euripides,0.002234637
Molière,0.002234637
Washington Irving,0.002234637
Ben Jonson,0.002234637
Jean-Paul Sartre,0.002234637
Aeschylus,0.002234637
Anne Bradstreet,0.002234637
Wallace Stevens,0.002234637
The Scarlet Letter,0.002234637
The Hunchback of Notre-Dame,0.002234637
W. H. Auden,0.002234637
Samuel Taylor Coleridge,0.002234637
A Clockwork Orange,0.002234637
Alexander Pushkin,0.002234637
Journey to the West,0.001955307
Günter Grass,0.001955307
Henry James,0.001955307
Hedda Gabler,0.001955307
Tom Stoppard,0.001955307
The Raven,0.001955307
The Handmaid's Tale,0.001955307
Sylvia Plath,0.001955307
George Eliot,0.001955307
Death in Venice,0.001955307
Waiting for Godot,0.001955307
Langston Hughes,0.001955307
William Carlos Williams,0.001955307
The Grapes of Wrath,0.001955307
Walter Scott,0.001955307
War and Peace,0.001955307
George Orwell,0.001955307
Tennessee Williams,0.001955307
The Lottery,0.001955307
Willa Cather,0.001955307
Cormac McCarthy,0.001955307
The Unbearable Lightness of Being,0.001955307
Death of a Salesman,0.001955307
V. S. Naipaul,0.001955307
Antigone,0.001955307
Holden Caulfield,0.001955307
Edward Albee,0.001955307
Things Fall Apart,0.001955307
A Raisin in the Sun,0.001955307
Percy Bysshe Shelley,0.001955307
Rabindranath Tagore,0.001955307
The Catcher in the Rye,0.001955307
The Tin Drum,0.001955307
Saul Bellow,0.001955307
The Decameron,0.001955307
Kenzaburo Oe,0.001675978
Ray Bradbury,0.001675978
Spain,0.001675978
Italo Calvino,0.001675978
John Greenleaf Whittier,0.001675978
Naguib Mahfouz,0.001675978
Harold Pinter,0.001675978
Isabel Allende,0.001675978
Who's Afraid of Virginia Woolf?,0.001675978
Long Day's Journey into Night,0.001675978
Lolita,0.001675978
Flannery O'Connor,0.001675978
Wilfred Owen,0.001675978
Ulysses,0.001675978
Daniel Defoe,0.001675978
Awakening,0.001675978
"Bartleby, the Scrivener",0.001675978
A. E. Housman,0.001675978
Macbeth,0.001675978
Li Bai,0.001675978
A Tale of Two Cities,0.001675978
One Thousand and One Nights,0.001675978
The Importance of Being Earnest,0.001675978
Ovid,0.001675978
One Flew Over the Cuckoo's Nest,0.001675978
Jonathan Swift,0.001675978
On the Road,0.001675978
Wuthering Heights,0.001675978
James Joyce,0.001675978
Dog,0.001675978
The Count of Monte Cristo,0.001675978
Les Misérables,0.001675978
Their Eyes Were Watching God,0.001675978
Aleksandr Solzhenitsyn,0.001675978
Victor Hugo,0.001675978
Alexander Pope,0.001675978
Doctor Zhivago,0.001675978
William Shakespeare,0.001675978
The Three Musketeers,0.001675978
Ambrose Bierce,0.001675978
Midnight's Children,0.001675978
The Picture of Dorian Gray,0.001675978
Rosencrantz and Guildenstern Are Dead,0.001675978
Pygmalion,0.001675978
Petrarch,0.001675978
Leo Tolstoy,0.001675978
Japan,0.001675978
World War I,0.001675978
Oliver Twist,0.001396648
Rainer Maria Rilke,0.001396648
The Satanic Verses,0.001396648
Sense and Sensibility,0.001396648
William Cullen Bryant,0.001396648
Octavio Paz,0.001396648
Poland,0.001396648
Aeneid,0.001396648
Dracula,0.001396648
Inferno,0.001396648
Honoré de Balzac,0.001396648
Portugal,0.001396648
Animal Farm,0.001396648
The Old Man and the Sea,0.001396648
South Africa,0.001396648
The Trial,0.001396648
J. D. Salinger,0.001396648
Ramayana,0.001396648
R.U.R.,0.001396648
Alexandre Dumas,0.001396648
Horace,0.001396648
A Midsummer Night's Dream,0.001396648
John Steinbeck,0.001396648
Sherlock Holmes,0.001396648
Sonnet,0.001396648
Aldous Huxley,0.001396648
"The History of Tom Jones, a Foundling",0.001396648
Kate Chopin,0.001396648
Dylan Thomas,0.001396648
Jack London,0.001396648
August Wilson,0.001396648
Philip Roth,0.001396648
Our Town,0.001396648
Italy,0.001396648
The Sound and the Fury,0.001396648
James Baldwin,0.001396648
Haiku,0.001396648
Bertolt Brecht,0.001396648
Thornton Wilder,0.001396648
Eugene Onegin,0.001396648
The Taming of the Shrew,0.001396648
Thomas Pynchon,0.001396648
Vanity Fair,0.002793296
King Lear,0.001396648
Robinson Crusoe,0.001396648
José Saramago,0.001396648
Edith Wharton,0.001396648
Siddhartha,0.001396648
Beloved,0.001396648
Argentina,0.001396648
Dover Beach,0.001396648
Chile,0.001396648
Yossarian,0.001396648
William Wordsworth,0.001396648
The Idiot,0.001117318
My Last Duchess,0.001117318
The Bell Jar,0.001117318
Adventures of Huckleberry Finn,0.001117318
The Little Prince,0.001117318
William Faulkner,0.001117318
Jane Austen,0.001117318
Cat on a Hot Tin Roof,0.001117318
Chicago,0.001117318
Oliver Goldsmith,0.001117318
Bret Harte,0.001117318
A Doll's House,0.001117318
John Updike,0.001117318
Tom Sawyer,0.001117318
The Crying of Lot 49,0.001117318
Rodion Romanovich Raskolnikov,0.001117318
Song of Myself,0.001117318
W. Somerset Maugham,0.001117318
The Sun Also Rises,0.001117318
Slaughterhouse-Five,0.001117318
Hamlet,0.001117318
Dante Alighieri,0.001117318
T. S. Eliot,0.001117318
Robert Louis Stevenson,0.001117318
"Rabbit, Run",0.001117318
Sophocles,0.001117318
Thanatopsis (band),0.001117318
H. G. Wells,0.001117318
Ralph Waldo Emerson,0.001117318
O. Henry,0.001117318
Uncle Tom's Cabin,0.001117318
Republic (disambiguation),0.001117318
August Strindberg,0.001117318
The Dumb Waiter,0.001117318
As I Lay Dying,0.001117318
E. M. Forster,0.001117318
Gwendolyn Brooks,0.001117318
Charles Dickens,0.001117318
The Sorrows of Young Werther,0.001117318
Ayn Rand,0.001117318
Harlem Renaissance,0.001117318
The Brothers Karamazov,0.001117318
Grendel,0.001117318
Nigeria,0.001117318
Sanskrit,0.001117318
Oedipus,0.001117318
Seamus Heaney,0.001117318
Mexico,0.001117318
Sinbad the Sailor,0.001117318
Little Women,0.001117318
Ivanhoe,0.001117318
Mark Twain,0.001117318
The Cherry Orchard,0.001117318
Much Ado About Nothing,0.001117318
Miguel de Cervantes,0.001117318
Ode to a Nightingale,0.001117318
The Good Earth,0.001117318
Ivan Turgenev,0.001117318
Lord Byron,0.001117318
Ezra Pound,0.001117318
William Golding,0.001117318
Robert,0.001117318
Ozymandias,0.001117318
Ethan Frome,0.001117318
Lines written a few miles above Tintern Abbey,0.001396648
Émile Zola,0.001117318
Kubla Khan,0.001117318
