,88
Robert Frost,45
Emily Dickinson,44
Pablo Neruda,43
Nathaniel Hawthorne,41
The,40
Edgar Allan Poe,39
Jorge Luis Borges,38
Don Quixote,36
Hermann Hesse,35
China,31
"Cry, the Beloved Country",30
Franz Kafka,30
W. B. Yeats,30
One Hundred Years of Solitude,30
Walt Whitman,29
Ernest Hemingway,29
Charles Baudelaire,29
Robert Browning,28
"Alfred, Lord Tennyson",28
Yasunari Kawabata,28
The Great Gatsby,28
John Keats,28
Johann Wolfgang von Goethe,28
Wole Soyinka,28
Madame Bovary,28
John Milton,27
Aristophanes,27
Thomas Mann,27
Mario Vargas Llosa,27
Nadine Gordimer,27
Gabriel García Márquez,27
Virginia Woolf,27
Henrik Ibsen,26
Fyodor Dostoyevsky,26
Yukio Mishima,26
Carlos Fuentes,26
Umberto Eco,26
Luigi Pirandello,26
Joseph Conrad,26
Anton Chekhov,26
W. H. Auden,26
Leo Tolstoy,26
The Waste Land,26
J. M. Coetzee,25
Langston Hughes,25
Australia,25
Chinua Achebe,25
Stephen Crane,25
Jane Eyre,25
E. E. Cummings,24
Henry James,24
Albert Camus,24
John Donne,24
Guy de Maupassant,24
Henry Wadsworth Longfellow,24
William Blake,24
Eugène Ionesco,24
Catch-22,24
Jean-Paul Sartre,24
Invisible Man,24
Christopher Marlowe,24
Sylvia Plath,23
James Joyce,23
Federico García Lorca,23
Frankenstein,23
Anna Karenina,23
Brave New World,23
Percy Bysshe Shelley,23
George Bernard Shaw,22
Allen Ginsberg,22
Thomas Hardy,22
Kurt Vonnegut,22
George Orwell,22
Arthur Miller,22
Molière,22
Washington Irving,22
Candide,22
Nikolai Gogol,22
The Canterbury Tales,22
Italo Calvino,21
The Love Song of J. Alfred Prufrock,21
Flannery O'Connor,21
D. H. Lawrence,21
Herman Melville,21
Ben Jonson,21
Japan,21
The Decameron,21
Alexander Pushkin,21
Pride and Prejudice,20
Derek Walcott,20
Günter Grass,20
William Carlos Williams,20
Mexico,20
Beowulf,20
Eugene O'Neill,20
Ezra Pound,20
Edward Albee,20
Crime and Punishment,20
Bertolt Brecht,20
Samuel Taylor Coleridge,20
The Tale of Genji,19
Samuel Beckett,19
T. S. Eliot,19
Ovid,19
August Strindberg,19
Rubaiyat of Omar Khayyam,19
Lord of the Flies,19
Gustave Flaubert,19
Wuthering Heights,19
The Red and the Black,19
Dylan Thomas,19
Sinclair Lewis,19
Wallace Stevens,19
Oscar Wilde,19
The Tin Drum,19
F. Scott Fitzgerald,18
Naguib Mahfouz,18
Isabel Allende,18
Lolita,18
Rudyard Kipling,18
Walter Scott,18
The Rime of the Ancient Mariner,18
Moby-Dick,18
Death of a Salesman,18
Things Fall Apart,18
Graham Greene,18
Petrarch,18
William Wordsworth,18
Rainer Maria Rilke,17
The Tempest,17
Honoré de Balzac,17
Milan Kundera,17
One Thousand and One Nights,17
Andrew Marvell,17
Tennessee Williams,17
The Cherry Orchard,17
Italy,17
Toni Morrison,17
Saul Bellow,17
Spain,16
William Faulkner,16
John Greenleaf Whittier,16
Great Expectations,16
A Streetcar Named Desire,16
To Kill a Mockingbird,16
William Cullen Bryant,16
Vladimir Nabokov,16
Harold Pinter,16
Marcel Proust,16
Octavio Paz,16
Death in Venice,16
Ulysses,16
Robert Louis Stevenson,16
J. D. Salinger,16
Virgil,16
O. Henry,16
Tartuffe,16
Margaret Atwood,16
Their Eyes Were Watching God,16
August Wilson,16
Philip Roth,16
The Unbearable Lightness of Being,16
Victor Hugo,16
Anne Bradstreet,16
Rabindranath Tagore,16
All Quiet on the Western Front,16
Athol Fugard,16
Matthew Arnold,15
The Idiot,15
Ray Bradbury,15
The Song of Roland,15
A Doll's House,15
Poland,15
Father and Son,15
Daniel Defoe,15
Awakening,15
Macbeth,15
The Trial,15
Heart of Darkness,15
The Importance of Being Earnest,15
Jonathan Swift,15
Gwendolyn Brooks,15
The Glass Menagerie,15
Les Misérables,15
Jack London,15
Howl (disambiguation),15
V. S. Naipaul,15
Ivan Turgenev,15
James Baldwin,15
Aeschylus,15
William Golding,15
The Stranger,15
Argentina,15
James Fenimore Cooper,14
Edwin Arlington Robinson,14
Hedda Gabler,14
Sense and Sensibility,14
Romance of the Three Kingdoms,14
Tom Stoppard,14
Gerard Manley Hopkins,14
The Handmaid's Tale,14
Chronicle of a Death Foretold,14
A. E. Housman,14
Sophocles,14
Ralph Waldo Emerson,14
Uncle Tom's Cabin,14
Horace,14
The Brothers Karamazov,14
Aldous Huxley,14
Seamus Heaney,14
The Metamorphosis,14
Karen Blixen,14
Willa Cather,14
Doctor Zhivago,14
William Shakespeare,14
Thornton Wilder,14
Ambrose Bierce,14
The Hunchback of Notre-Dame,14
Émile Zola,14
Midnight's Children,14
Thomas Pynchon,14
Vanity Fair,14
José Saramago,14
Orhan Pamuk,14
To His Coy Mistress,13
Kenzaburo Oe,13
Voltaire,13
Faust,13
Wilfred Owen,13
Paradise Lost,13
Hamlet,13
Salman Rushdie,13
A Tale of Two Cities,13
The Grapes of Wrath,13
As I Lay Dying,13
E. M. Forster,13
Love in the Time of Cholera,13
The Count of Monte Cristo,13
Mark Twain,13
Euripides,13
Our Town,13
Alexander Pope,13
The Master and Margarita,13
The Three Musketeers,13
Friedrich Schiller,13
Volpone,13
Robinson Crusoe,13
Edith Wharton,13
Chile,13
Gargantua and Pantagruel,12
Cat on a Hot Tin Roof,12
The Satanic Verses,12
Who's Afraid of Virginia Woolf?,12
Waiting for Godot,12
"Bartleby, the Scrivener",12
South Africa,12
Li Bai,12
Haruki Murakami,12
War and Peace,12
Saki,12
Catullus,12
Charles Dickens,12
John Steinbeck,12
The Crucible,12
Maxim Gorky,12
Kate Chopin,12
French,12
Cormac McCarthy,12
Aleksandr Solzhenitsyn,12
Holden Caulfield,12
Lord Byron,12
Ghost,12
The Scarlet Letter,12
David Copperfield,12
Les Fleurs du mal,12
King Lear,12
The Picture of Dorian Gray,12
A Clockwork Orange,12
World War I,12
Journey to the West,11
Stendhal,11
Heinrich Böll,11
Twenty Love Poems and a Song of Despair,11
The Crying of Lot 49,11
The Raven,11
Song of Myself,11
Inferno,11
Dante Alighieri,11
Romeo and Juliet,11
Karel Capek,11
Kazuo Ishiguro,11
Manuel Puig,11
Evelyn Waugh,11
On the Road,11
The Dumb Waiter,11
R.U.R.,11
Nigeria,11
No Exit,11
Othello,11
Ivanhoe,11
Emma,11
Much Ado About Nothing,11
Antigone,11
The Iceman Cometh,11
The Catcher in the Rye,11
Rubén Darío,11
Brideshead Revisited,11
Anatole France,11
Truman Capote,11
Rosencrantz and Guildenstern Are Dead,11
Philip Larkin,11
Pygmalion,11
Dover Beach,11
Oliver Twist,10
Alan Paton,10
India,10
A Farewell to Arms,10
Spoon River Anthology,10
Oliver Goldsmith,10
Sonnets from the Portuguese,10
John Updike,10
Dracula,10
André Gide,10
Cuba,10
Edna St. Vincent Millay,10
George Eliot,10
Julio Cortázar,10
Slaughterhouse-Five,10
An Enemy of the People,10
Portugal,10
Geoffrey Chaucer,10
Robert Lowell,10
Alexandre Dumas,10
The Sorrows of Young Werther,10
The Lottery Man (1919 film),10
Ode to a Nightingale,10
The Sound and the Fury,10
A Confederacy of Dunces,10
A Raisin in the Sun,10
Eugene Onegin,10
Ozymandias,10
Pedro Calderón de la Barca,10
Interpreter of Maladies,10
To the Lighthouse,10
Beloved,10
Jack Kerouac,10
Duino Elegies,9
John Dryden,9
The Little Prince,9
Jane Austen,9
She Stoops to Conquer,9
If on a winter's night a traveler,9
The Mayor of Casterbridge,9
Darkness at Noon,9
Mikhail Bulgakov,9
Doris Lessing,9
Long Day's Journey into Night,9
Birthday Party,9
W. Somerset Maugham,9
Carson McCullers,9
The Name of the Rose,9
Arthur Rimbaud,9
The Old Man and the Sea,9
The Frogs,9
Brazil,9
"Rabbit, Run",9
Thanatopsis (band),9
H. G. Wells,9
Tender Is the Night,9
One Flew Over the Cuckoo's Nest,9
Republic (disambiguation),9
Middlemarch,9
Sherlock Holmes,9
Sonnet,9
Canto General,9
Oedipus the King,9
Tess of the d'Urbervilles,9
The Jungle,9
France,9
Oresteia,9
"Absalom, Absalom!",9
Eudora Welty,9
The Heart Is a Lonely Hunter,9
Ethan Frome,9
Vanity Fair (novel),9
Water Margin,9
Dead Souls,9
The House of the Seven Gables,9
The Bell Jar,8
Adventures of Huckleberry Finn,8
Robert Burns,8
A,8
The Prime of Miss Jean Brodie,8
Elegy Written in a Country Churchyard,8
Snow Country,8
Shirley Jackson,8
"The Life and Opinions of Tristram Shandy, Gentleman",8
Aeneid,8
Lysistrata,8
The Sun Also Rises,8
Huckleberry Finn,8
Patrick White,8
Animal Farm,8
Dream of the Red Chamber,8
Thomas Gray,8
St. Francis College,8
Angels in America: A Gay Fantasia on National Themes,8
Carl Sandburg,8
Hart Crane,8
A House for Mr Biswas,8
Katherine Mansfield,8
The Bluest Eye,8
David Foster Wallace,8
The Lady of Shalott,8
Erich Maria Remarque,8
A Midsummer Night's Dream,8
A Room of One's Own,8
Grendel,8
Oedipus,8
"The History of Tom Jones, a Foundling",8
Tom Wolfe,8
Little Women,8
The Pilgrim's Progress,8
Gabriela Mistral,8
Egypt,8
William Dean Howells,8
All the King's Men,8
A Portrait of the Artist as a Young Man,8
Maya Angelou,8
The Glass Bead Game,8
Sir Gawain and the Green Knight,8
The Overcoat (1926 film),8
Ode to the West Wind,8
The Seagull,8
Native Son,8
Fahrenheit 451,8
July's People,8
Samuel Johnson,8
Haiku,8
John Dos Passos,8
Robert,8
The Bald Soprano,8
Steppenwolf,8
The Taming of the Shrew,8
Crossing Brooklyn Ferry,8
The Magic Mountain,8
Kubla Khan,8
Six Characters in Search of an Author,8
Heinrich Heine,8
Oliver Wendell Holmes Sr.,8
Siddhartha,8
Sons and Lovers,8
The Jew of Malta,8
A Good Man Is Hard to Find,8
Richard Wright,8
David Mamet,8
My Last Duchess,7
Bernard Malamud,7
Birds (disambiguation),7
Infinite Jest,7
Arms and the Man,7
Disgrace,7
Chicago,7
Sherwood Anderson,7
The Charterhouse of Parma,7
Bret Harte,7
Measure for Measure,7
Tom Sawyer,7
James Thurber,7
Satan,7
Arcadia,7
Pierre Corneille,7
Gao Xingjian,7
Glengarry Glen Ross,7
The House of Mirth,7
The House of Bernarda Alba,7
German,7
Mikhail Lermontov,7
Billiards at Half-Past Nine,7
John Cheever,7
Miss Julie,7
Ramayana,7
The House of the Spirits,7
The Red Badge of Courage,7
Phillis Wheatley,7
Ode on a Grecian Urn,7
The Lion and the Jewel,7
A Connecticut Yankee in King Arthur's Court,7
Don DeLillo,7
An American Tragedy,7
Rappaccini's Daughter,7
Far from the Madding Crowd,7
One Day in the Life of Ivan Denisovich,7
Lady Chatterley's Lover,7
Christina Rossetti,7
Stephen Vincent Benét,7
The Luck of Roaring Camp (1911 film),7
Silas Marner,7
Miguel de Cervantes,7
Chikamatsu Monzaemon,7
Jules Verne,7
Archibald MacLeish,7
Edward,7
The Rape of the Lock,7
Billy Budd,7
New York University,7
To a Skylark,7
Lines written a few miles above Tintern Abbey,7
"September 1, 1939",7
Gitanjali,7
Howards End,7
A Room with a View,7
"Winesburg, Ohio",7
Lewis Carroll,7
1984,7
Yossarian,7
Spanish,7
Visual impairment,6
Kingsley Amis,6
Nausea,6
Aunt Julia and the Scriptwriter,6
Three Sisters,6
Ichabod - The Legend of Sleepy Hollow (Decca album),6
Fraktur,6
Cat's Cradle,6
When Lilacs Last in the Dooryard Bloom'd,6
The Remains of the Day,6
Foucault's Pendulum,6
Vachel Lindsay,6
Snow,6
In Search of Lost Time,6
Mrs Dalloway,6
Seán O'Casey,6
Rodion Romanovich Raskolnikov,6
East of Eden,6
Mending Wall,6
Sweden,6
Tom Jones,6
Alchemist (disambiguation),6
V,6
Iago,6
Dulce et Decorum est,6
The Prince,6
Death of a Naturalist,6
Philip Freneau,6
Charge of the Light Brigade (disambiguation),6
Anthony Burgess,6
Life Is a Dream,6
My Antonia,6
Vikram Seth,6
Okonkwo,6
Babbitt,6
Mansfield Park,6
Henry V,6
Alice Munro,6
Gulliver's Travels,6
Edmund Spenser,6
The Imaginary Invalid,6
For Whom the Bell Tolls,6
Gravity's Rainbow,6
Sanskrit,6
John Irving,6
Noël Coward,6
Dog,6
Waiting for the Barbarians,6
Cyrano de Bergerac,6
Henry Fielding,6
"L'Allegro, il Penseroso ed il Moderato",6
John Barth,6
The Duchess of Malfi,6
The School for Scandal,6
Marianne Moore,6
Giovanni Boccaccio,6
Zora Neale Hurston,6
Upton Sinclair,6
Leaves of Grass,6
Lemuel Gulliver,6
White noise,6
Norway,6
Arabic,6
All My Sons,6
Uncle Vanya,6
Père Goriot,6
The Wild Duck,6
Cat,6
The Second Coming (Kiss video),6
Richard Brinsley Sheridan,6
As You Like It,6
The Tell-Tale Heart,6
The Castle of Otranto,6
A Shropshire Lad,6
E. T. A. Hoffmann,6
Odyssey,6
Jean Racine,6
Plautus,6
Pearl (disambiguation),6
Rob Roy,5
Inferno (Dante),5
The Diary of a Young Girl,5
The Master Builder,5
Nineteen Eighty-Four,5
Tobias Smollett,5
The Necklace,5
Death Comes for the Archbishop,5
Friedrich Hölderlin,5
A Rose for Emily,5
The Lower Depths,5
The World According to Garp,5
François Rabelais,5
Greece,5
The Turn of the Screw,5
Charles de Batz-Castelmore d'Artagnan,5
The Mysteries of Udolpho,5
Night,5
Book of the Dead,5
The Age of Innocence,5
Blood Meridian,5
Jay Gatsby,5
The Ambassadors,5
New Zealand,5
Os Lusíadas,5
Cannery Row,5
Theodore Dreiser,5
Robert Penn Warren,5
El Cid,5
Euthyphro,5
Kenya,5
The God of Small Things,5
William S. Burroughs,5
Portuguese,5
Roland,5
Wilkie Collins,5
The Castle,5
Norwegian Wood (This Bird Has Flown),5
Caliban,5
Kalevala,5
Ralph Ellison,5
The Aleph (short story collection),5
Juno and the Paycock,5
Neil Simon,5
London,5
Song of Songs,5
Naked Lunch,5
John Millington Synge,5
J,5
Of Human Bondage,5
Self-reliance,5
Thirteen Ways of Looking at a Blackbird,5
Matsuo Basho ,5
Charlotte Perkins Gilman,5
The Faerie Queene,5
Orlando Furioso,5
Sinbad the Sailor,5
Joseph Heller,5
Everything That Rises Must Converge,5
