Zoroastrianism,39
Sikhism,36
Jainism,34
Bahá'í Faith,30
Voodoo,24
Moses,22
Taoism,22
Rastafari,21
Quran,21
Book of Mormon,18
Zen,18
Gautama Buddha,17
Passover,15
Fasting,13
John the Baptist,13
Ramadan,13
Shinto,13
Yom Kippur,12
Acts of the Apostles,12
Purim,12
Daniel,12
Hanukkah,11
Abraham,11
Joshua,10
Buddhism,10
Mormonism,10
Book of Revelation,10
Diwali,10
Hajj,10
Solomon,10
Paul the Apostle,10
Druze,10
John Calvin,10
,9
Quakers,9
Muhammad,9
Jesus,9
Eucharist,9
Manichaeism,9
Book of Esther,9
Sukkot,8
Islam,8
Holi,8
Rosh Hashanah,8
Job,8
Guru Nanak,8
Francis of Assisi,8
Epistle to the Romans,8
Samuel,7
Marriage,7
Book of Daniel,7
Joseph,7
Sikh gurus,7
Psalms,7
Book of Judges,7
Pentecost,7
Saint Peter,7
Sufism,7
Methodism,7
David,7
Book of Isaiah,6
Hinduism,6
Hasidic Judaism,6
Mormons,6
Theravada,6
Seventh-day Adventist Church,6
Judas Iscariot,6
Jacob,6
Mahavira,6
Jerusalem,6
Karma,6
Sermon on the Mount,6
Baptism,6
Circumcision,6
Shakers,5
Society of Jesus,5
Nirvana,5
Noah,5
Samson,5
Wedding,5
Book of Exodus,5
Zoroaster,5
Elijah,5
Jeremiah,5
Nestorianism,5
Jonah,5
Cain and Abel,5
Book of Joshua,5
First Epistle to the Corinthians,5
Jehovah's Witnesses,5
Shia Islam,5
Gabriel,5
Shabbat,5
Salah,5
Gospel of John,5
Japan,5
Augustine of Hippo,5
Nation of Islam,5
Tibet,5
Samaritans,5
Fire,5
Book of Ruth,4
Epistle to the Hebrews,4
Church of Scientology,4
Saul,4
Immaculate Conception,4
Joseph Smith,4
Meditation,4
Santería,4
Ecclesiastes,4
Horse,4
Adam,4
Kaaba,4
Gospel of Luke,4
"Mary, mother of Jesus",4
Tibetan Buddhism,4
Hadith,4
Sutra,4
Lutheranism,4
Book of Leviticus,4
Isaiah,4
Mahayana,4
Tree,4
Book of Genesis,4
Parables of Jesus,4
Lot,4
Epistle to the Philippians,4
Easter,4
Cornelius Jansen,4
Elisha,4
Alms,4
Mithraism,4
Christian Science,4
Book of Job,4
Gospel of Mark,4
Bodhisattva,4
Pauline epistles,4
Mark the Evangelist,4
Aaron,4
Guru Gobind Singh,4
Bhagavad Gita,4
Pentecostalism,4
Saint Christopher,3
Rigveda,3
Paul,3
Gideon,3
Book of Jonah,3
Tertullian,3
The Church of Jesus Christ of Latter-day Saints,3
Second Vatican Council,3
Imam,3
Animal sacrifice,3
Problem of evil,3
Book of Numbers,3
Pure Land Buddhism,3
Brazil,3
Moroni,3
China,3
Papal infallibility,3
Miriam,3
Unification Church,3
Vedas,3
Tirthankara,3
Bhikkhu,3
Ethiopia,3
Pope Benedict XVI,3
Predestination,3
P'tcha,3
Upanishads,3
Good Friday,3
Number,3
Andrew the Apostle,3
Thomas the Apostle,3
Book of Deuteronomy,3
The Imitation of Christ,3
Kohen,3
Sharia,3
Ignatius of Loyola,3
Lent,3
Torah reading,3
Kaddish,3
Ezekiel,3
Honey,3
Mosque,3
Jonathan,3
Mary,3
Wicca,3
Buddhahood,3
Garden of Eden,3
Epistles to the Corinthians,3
The,3
Ark of the Covenant,3
Bogomilism,3
Tisha B'Av,3
Falun Gong,3
Eid al-Adha,2
Moon,2
Angra Mainyu,2
Council of Trent,2
John the Evangelist,2
Guru Granth Sahib,2
Jinn,2
Avesta,2
Pope John Paul II,2
Hindu temple,2
Passover Seder,2
Rock (geology),2
Yoga,2
Mysticism,2
Jewish wedding,2
Dharma,2
South Korea,2
Book of Ezra,2
Sanskrit,2
Raëlism,2
Tiresias,2
Advent,2
Hanuman,2
Day of the Dead,2
Pharaohs in the Bible,2
Cattle,2
Cybele,2
Reincarnation,2
Luke the Evangelist,2
New Year's Day,2
Trinity,2
Judaism,2
Saint Nicholas,2
Canonization,2
Joseph of Arimathea,2
The Book of Certitude ,2
Bar and Bat Mitzvah,2
Rainbow,2
Crucifixion of Jesus,2
Cao Dai,2
Vishnu,2
Lotus Sutra,2
Deborah,2
