,25
Entropy,17
Determinant,15
Prime number,15
Diffusion,15
Benzene,15
Hemoglobin,14
Ferromagnetism,14
Electronegativity,14
Friction,14
Superconductivity,13
Refractive index,13
Doppler effect,13
Black hole,13
Viscosity,13
Angular momentum,13
Distillation,13
Water,12
Gravity,12
ATP,12
Chromatography,12
Electron,12
Mitochondrion,12
Gibbs free energy,12
Nernst equation,12
Tree,11
Capacitor,11
Neutron,11
Mass,11
Mercury,11
Photon,11
Redox,10
Golgi apparatus,10
Ammonia,10
Hydrogen bond,10
Ribosome,10
Heat capacity,10
Sulfuric acid,10
Pressure,10
Ozone,10
Antibody,10
Mollusca,10
Bernoulli's principle,10
Xylem,9
Leonhard Euler,9
Flowering plant,9
Ketone,9
Carbon,9
Isaac Newton,9
Citric acid cycle,9
Magnetic field,9
Nitrogen,9
Liver,9
Moment of inertia,9
Factorial,9
Temperature,9
Momentum,9
Titration,9
Trigonometric functions,9
Laser,9
Reflection,9
Speed of light,9
Ether,9
Thyroid,9
Boron,9
Electric current,8
Hooke's law,8
Ideal gas law,8
Supernova,8
Avogadro constant,8
Kidney,8
Matrix,8
Electric field,8
Neuron,8
Kinetic energy,8
Density,8
Simple harmonic motion,8
Cnidaria,8
Sodium,8
Power,8
Meiosis,8
Crystal,8
Polymer,8
Stomach,8
Collagen,8
Insulin,8
Michael Faraday,8
X chromosome,8
Potential energy,8
Surface tension,8
Activation energy,8
Red blood cell,8
Proton,8
Pi,8
RNA,8
Halogen,8
Fungus,8
Fibonacci number,8
Noble gas,7
Velocity,7
Capacitance,7
Auxin,7
Amino acid,7
1 (number),7
Quartz,7
Kuiper belt,7
Enrico Fermi,7
Lysosome,7
Neutrino,7
Oxygen,7
Ester,7
Torque,7
Alkyne,7
Alcohol,7
Cloud,7
Glacier,7
Photoelectric effect,7
Richard Feynman,7
Enzyme,7
HIV,7
Diffraction,7
Apoptosis,7
Polymerase chain reaction,7
PH,7
Volume,7
Hall effect,6
Voltage,6
Hydrogen,6
Titanium,6
Helium,6
Uncertainty principle,6
Acid,6
Stem cell,6
Cell membrane,6
DNA,6
Nuclear fusion,6
Time,6
Cystic fibrosis,6
Combustion,6
Axon,6
Enthalpy,6
Le Chatelier's principle,6
Andromeda Galaxy,6
Sponge,6
Soil,6
Alkene,6
Carbon dioxide,6
Stratosphere,6
Resistance,6
Delta,6
Carl Friedrich Gauss,6
Alzheimer's disease,6
3 (number),6
Polynomial,6
Prion,6
Second law of thermodynamics,6
Echinoderm,6
Venus,6
Max Planck,6
Zinc,6
Boiling point,6
2 (number),6
Alan Turing,6
Coagulation,6
X-ray,5
Epinephrine,5
Electrical resistance and conductance,5
Potassium,5
CONFIG.SYS,5
Refraction,5
WAVES,5
Johannes Kepler,5
Pierre de Fermat,5
Work,5
Equilibrium constant,5
Jupiter,5
Pancreas,5
Heart,5
Isomer,5
Niels Bohr,5
Hydrochloric acid,5
Special relativity,5
Spin,5
Precession,5
Gustav Kirchhoff,5
Feldspar,5
Nematode,5
Sphere,5
Colloid,5
Greatest common divisor,5
Endoplasmic reticulum,5
Ethanol,5
Higgs boson,5
Flagellum,5
Bernhard Riemann,5
Sorting algorithm,5
Copper,5
Albert Einstein,5
Circle,5
Ideal gas,5
Urea,5
Quark,5
4 (number),5
Mantle,5
Pituitary gland,5
Tuberculosis,5
Oort cloud,5
Triangle,5
Phosphorus,5
Catalysis,5
Newton's laws of motion,5
Integration,5
Dark matter,5
Hess's law,5
Nucleus,5
Calcium,5
Standard deviation,5
Resonance,5
Speed of sound,5
Orion,4
Lung,4
Fluorine,4
Alpha particle,4
Jurassic,4
Trapezoid,4
Chloroplast,4
Frequency,4
Mean,4
Radical (chemistry),4
Magnesium,4
Huntington's disease,4
Archimedes,4
Coriolis force,4
Solar wind,4
Hydrogen peroxide,4
Four color theorem,4
Transcription,4
0 (number),4
Glucose,4
Brownian motion,4
Titan,4
Eye,4
Translation,4
Earthquake,4
Dopamine,4
Edwin Hubble,4
Acetylcholine,4
Cerebellum,4
Michelson-Morley experiment,4
Iron,4
Chlorophyll,4
Prophase,4
Black body,4
Light-independent reactions,4
Bases,4
Sulfur,4
Dimension,4
Erwin Schrödinger,4
Quasar,4
Pulsar,4
Hyperbola,4
Photosynthesis,4
Archaea,4
Cancer,4
Galaxy,4
Italy,4
Semiconductor,4
8 (number),4
Pendulum,4
Glycolysis,4
Transistor,4
7 (number),4
Serotonin,4
Commutative property,4
Irrational number,4
Lactic acid,4
Sine,4
Fractal,4
Joseph-Louis Lagrange,4
C++,4
B cell,4
Silicon,4
Vector,4
Buffer solution,4
Electrolysis,4
Ionosphere,4
Graph,4
Aldehyde,4
Tropical cyclone,4
Cell wall,4
Lake,4
Drosophila melanogaster,4
Quantum computing,3
Infrared spectroscopy,3
Georg Cantor,3
Gauss's law,3
Penicillin,3
Group,3
Electric charge,3
Normal distribution,3
Spleen,3
Platypus,3
Derivative,3
Recursion,3
Seafloor spreading,3
Comet,3
Bone,3
Brown dwarf,3
Cambrian,3
Tension,3
Speciation,3
General relativity,3
Fault,3
Cosmic microwave background,3
Wind,3
Aquifer,3
Golden ratio,3
Amphibian,3
Arrhenius equation,3
Central processing unit,3
Nebula,3
Diode,3
Sublimation,3
Genetic drift,3
Gallbladder,3
Polarization,3
Ultraviolet,3
Beta,3
Square number,3
Iodine,3
Series,3
T cell,3
Euclid,3
Atomic orbital,3
Ellipses,3
Dwarf planet,3
Schizophrenia,3
Fraktur,3
Real number,3
Nuclear fission,3
Femur,3
Array,3
Chromosome,3
Atomic nucleus,3
Cyclohexane,3
Wittig reaction,3
Piezoelectricity,3
Melanin,3
Galileo Galilei,3
Ionization energy,3
Henry's law,3
Van der Waals equation,3
Mars,3
Augustin-Louis Cauchy,3
Integer,3
Phosphate,3
Aorta,3
Complex number,3
Double bond,3
Mimicry,3
Michelson-Morley Experiment,3
Ludwig Boltzmann,3
Uranium,3
Acetic acid,3
Lightning,3
Thomas Young,3
Nitric acid,3
Plasma,3
Vitamin C,3
Vitamin D,3
Mutation,3
Acetone,3
Earth's magnetic field,3
Java,3
Antoine Lavoisier,3
Influenza,3
Gamma-ray burst,3
Tetrahedron,3
Donald Knuth,3
Limestone,3
Energy,3
Cochlea,3
Spermatozoon,3
Orthomyxoviridae,3
Cholesterol,3
Svante Arrhenius,3
Neutron star,3
Neptune,3
"William Thomson, 1st Baron Kelvin",3
Chlorine,3
Buoyancy,3
Cretaceous,3
Tay-Sachs disease,3
Pluto,3
Subduction,3
Strong interaction,3
Telomerase,3
Plate tectonics,3
Nuclear magnetic resonance spectroscopy,3
Rabies,3
Limit,3
Volcano,3
Addition,3
Sun,3
Solubility,3
Taiga,3
Lithium,3
Function,3
Leaf,2
Spin (physics),2
Caffeine,2
Conjugation,2
Electrical network,2
Snell's law,2
Moon,2
Hubble Space Telescope,2
Meningitis,2
Protist,2
5 (number),2
Normal force,2
Hamiltonian,2
Linus Pauling,2
Linked list,2
Diabetes mellitus,2
Weak interaction,2
Resistor,2
Square root,2
India,2
Covalent bond,2
Surfactant,2
Andromeda,2
Perfect number,2
Diamond,2
Maxwell's equations,2
Actin,2
Cerebrum,2
Molecular orbital theory,2
Scattering,2
Azide,2
Reynolds number,2
Gluon,2
Red giant,2
Thiol,2
Down syndrome,2
Convergence,2
Adrien-Marie Legendre,2
Equipartition theorem,2
Hydrophobe,2
Basalt,2
Jacobus Henricus van 't Hoff,2
Sexual reproduction,2
Egg cell,2
Inductor,2
Chelation,2
Outer core,2
Hail,2
Tornado,2
Chitin,2
Corundum,2
Wave function,2
Modular arithmetic,2
Harmonic oscillator,2
Hardness,2
Natural number,2
Phloem,2
Pythagorean theorem,2
Large Hadron Collider,2
Van der Waals force,2
Cross product,2
Carboxylic acid,2
Lanthanide,2
Sorting,2
William Rowan Hamilton,2
Estrogen,2
Silicate,2
Paul Dirac,2
Galvanic cell,2
John Dalton,2
Ampère's circuital law,2
Parabola,2
Heap,2
Igneous rock,2
Root system,2
Tungsten,2
Pregnancy,2
Maxima and minima,2
Citric acid,2
